College,Player,Team,Position,Conference
Akron,JoJo Natson,Cleveland Browns,Wide Receiver,
Akron,Isaiah Williams,San Francisco 49ers,Guard,
Alabama,Jonathan Allen,Washington null,Defensive Tackle,SEC
Alabama,Anthony Averett,Baltimore Ravens,Cornerback,SEC
Alabama,Bradley Bozeman,Baltimore Ravens,Guard,SEC
Alabama,Tony Brown,Cincinnati Bengals,Cornerback,SEC
Alabama,Isaiah Buggs,Pittsburgh Steelers,Defensive End,SEC
Alabama,Amari Cooper,Dallas Cowboys,Wide Receiver,SEC
Alabama,Raekwon Davis,Miami Dolphins,Defensive Tackle,SEC
Alabama,Trevon Diggs,Dallas Cowboys,Cornerback,SEC
Alabama,Kenyan Drake,Las Vegas Raiders,Running Back,SEC
Alabama,Johnny Dwight,Houston Texans,Defensive Tackle,SEC
Alabama,Rashaan Evans,Tennessee Titans,Linebacker,SEC
Alabama,Minkah Fitzpatrick,Pittsburgh Steelers,Safety,SEC
Alabama,D.J. Fluker,Baltimore Ravens,Guard,SEC
Alabama,Robert Foster,Miami Dolphins,Wide Receiver,SEC
Alabama,Shaun Dion Hamilton,Detroit Lions,Linebacker,SEC
Alabama,Ronnie Harrison Jr.,Cleveland Browns,Safety,SEC
Alabama,J.C. Hassenauer,Pittsburgh Steelers,Center,SEC
Alabama,Derrick Henry,Tennessee Titans,Running Back,SEC
Alabama,Hale Hentges,Minnesota Vikings,Tight End,SEC
Alabama,Marlon Humphrey,Baltimore Ravens,Cornerback,SEC
Alabama,Mark Ingram II,Houston Texans,Running Back,SEC
Alabama,Kareem Jackson,Denver Broncos,Safety,SEC
Alabama,Eddie Jackson,Chicago Bears,Safety,SEC
Alabama,Josh Jacobs,Las Vegas Raiders,Running Back,SEC
Alabama,Anfernee Jennings,New England Patriots,Linebacker,SEC
Alabama,Jerry Jeudy,Denver Broncos,Wide Receiver,SEC
Alabama,Julio Jones,Atlanta Falcons,Wide Receiver,SEC
Alabama,Ryan Kelly,Indianapolis Colts,Center,SEC
Alabama,Dre Kirkpatrick,Arizona Cardinals,Cornerback,SEC
Alabama,Terrell Lewis,Los Angeles Rams,Linebacker,SEC
Alabama,Jared Mayden,San Francisco 49ers,Safety,SEC
Alabama,Cole Mazza,Los Angeles Chargers,Long Snapper,SEC
Alabama,AJ McCarron,Houston Texans,Quarterback,SEC
Alabama,Xavier McKinney,New York Giants,Safety,SEC
